"","beta_hc","alpha.M","alpha.m","alpha","lambda_h.max1","lambda_h.max2","tcritical.lambda_h","delta_y","v","CU.extract_delay","IC.extract_perception_delay","P.extract_delay","ph_xval","ph_yval","ph_min","ph_s","S","K_o","a_gg","a_ge","gamma_hc","tcritical.Inv_Cum_extract","tcritical.Inv_Cum_goods","eta.Kextract_max","eta.Kextract_min","eta.Kextract_s","eta.Kgoods_max","eta.Kgoods_min","eta.Kgoods_s","markup.goods","markup.extract","nature_per_unit_physical_good"
"42",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"43",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"44",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"45",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"46",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"47",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"48",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"49",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"50",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"51",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"52",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"53",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"54",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"55",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"56",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"57",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"58",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"59",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"60",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"61",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"62",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"63",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"64",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"65",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"66",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"67",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
"68",0.03,0.07,0.01,0,100,100,1000,0.012,1.5,0.3,0.3,0.3,0.6,0,-0.05,0.05,0.08,3.48,0.1,0.2,0.01,1000,1000,0.16,0.0533333333333333,-0.015,0.16,0.0533333333333333,-0.015,0.07,0.1,0.1
